name: Corrupted Avenger	 price: 86450.0
name: Honor of Humanity	 price: 9943.5
name: Berserker's Pearl Needler	 price: 9028.6
name: Carrion Legionnaire Short Bow of Rage	 price: 8426.6
name: Berserker's Pearl Broadsword	 price: 8394.4
name: Devona's Legplates	 price: 6950.3
name: Rampager's Pearl Rod	 price: 5588.1
name: Devona's Pauldrons	 price: 5539.1
name: Carrion Legionnaire Greatsword of Rage	 price: 5522.3
name: Traveler's Orrian Longsword of Rage	 price: 5436.9
name: Traveler's Ceremonial Scimitar of Rage	 price: 5308.8
name: Explorer's Pearl Handcannon	 price: 5247.9
name: Knight's Emblazoned Boots	 price: 4929.4
name: Colossus Fang	 price: 4549.3
name: Traveler's Ceremonial Focus of Rage	 price: 3629.5
name: Wisteria	 price: 3430.0
name: Shaman's Etched Trident of Rage	 price: 2651.6
name: Traveler's Amulet	 price: 1981.7
name: Icing Dye	 price: 1657.6
name: Knight's Gladiator Pauldrons	 price: 1289.4
name: Honed Gladiator Chestplate	 price: 1138.9
name: Valkyrie Ogre Warstaff	 price: 1110.2
name: Shaman's Norn Dagger of Air	 price: 1036.7
name: 15 Slot Invisible Leather Pack	 price: 957.6
name: Wayfarer's Verdant Bow	 price: 911.4
name: Traveler's Aureate Staff of Air	 price: 893.9
name: Soldier's Aureate Charm	 price: 816.2
name: Rampager's Axe of Agony	 price: 769.3
name: Rabid Verdant Shield	 price: 689.5
name: Carrion Verdant Shield of Air	 price: 660.8
name: Superior Rune of Flame Legion	 price: 571.2
name: Cleric's Scepter of Serpent Slaying	 price: 548.1
name: Rampager's Greatsword of Grawl Slaying	 price: 522.9
name: Berserker's Greatsword of Air	 price: 515.2
name: Bit of Fused Metal Scrap	 price: 439.6
name: Berserker's Krait Slayer	 price: 404.6
name: Destroyer Core	 price: 396.2
name: Carrion Verdant Scepter of Water	 price: 394.8
name: Berserker's Short Bow of Peril	 price: 385.0
name: Berserker's Scepter of Force	 price: 335.3
name: Rampager's Pirate Boots of Infiltration	 price: 273.7
name: Superior Sigil of Rage	 price: 252.7
name: Rampager's Spear of Bloodlust	 price: 210.0
name: Corrupted Lodestone	 price: 208.6
name: Rampager's Pirate Mask of the Rata Sum	 price: 207.9
name: Rampager's Rogue Pauldrons of the Eagle	 price: 203.0
name: Fuchsia Dye	 price: 168.0
name: Vicious Claw	 price: 161.0
name: Ruby Orb	 price: 155.4
name: Princess Wand Skin	 price: 149.1
name: Traveler's Banded Legs of Grenth	 price: 148.4
name: Carrion Banded Gauntlets of the Citadel	 price: 140.0
name: Rampager's Banded Legs of the Dolyak	 price: 123.9
name: Major Rune of the Eagle	 price: 96.6
name: Ravaging Soft Inscription	 price: 89.6
name: Strong Soft Inscription	 price: 81.2
name: Major Sigil of Venom	 price: 79.1
name: Major Sigil of Serpent Slaying	 price: 74.2
name: Minor Rune of Divinity	 price: 68.6
name: Major Sigil of Grawl Slaying	 price: 49.0
name: Pile of Foul Essence	 price: 47.6
name: Major Rune of the Afflicted	 price: 44.1
name: Minor Rune of the Elementalist	 price: 34.3
name: Large Claw	 price: 20.3
name: Full Venom Sac	 price: 18.9
name: Potent Venom Sac	 price: 16.8
name: Intricate Totem	 price: 16.1
name: Pile of Shimmering Dust	 price: 9.8
name: Vital Green Inscription	 price: 3.5
