name: Naegling	 price: 41250.3	 eladodbszam: 15	 mennyivesznek: 151
name: Berserker's Amulet	 price: 12924.1	 eladodbszam: 53	 mennyivesznek: 54
name: Knight's Pearl Carver	 price: 10885.0	 eladodbszam: 27	 mennyivesznek: 56
name: Eir's Longbow	 price: 9158.1	 eladodbszam: 60	 mennyivesznek: 181
name: Deathwish	 price: 8733.2	 eladodbszam: 74	 mennyivesznek: 107
name: Super Long Bow Skin	 price: 8675.8	 eladodbszam: 55	 mennyivesznek: 110
name: Berserker's Pearl Carver	 price: 7422.1	 eladodbszam: 45	 mennyivesznek: 170
name: Traveler's Orrian Staff of Accuracy	 price: 7388.5	 eladodbszam: 73	 mennyivesznek: 64
name: Rampager's Pearl Stinger	 price: 6720.0	 eladodbszam: 54	 mennyivesznek: 30
name: Explorer's Pearl Broadsword	 price: 5581.8	 eladodbszam: 25	 mennyivesznek: 85
name: Superior Rune of the Eagle	 price: 5371.1	 eladodbszam: 193	 mennyivesznek: 490
name: Winged Spatha	 price: 5201.7	 eladodbszam: 53	 mennyivesznek: 61
name: Shaman's Etched Scepter of Rage	 price: 4853.8	 eladodbszam: 32	 mennyivesznek: 22
name: Superior Sigil of Battle	 price: 4753.0	 eladodbszam: 109	 mennyivesznek: 147
name: Knot of Justice	 price: 4339.3	 eladodbszam: 69	 mennyivesznek: 61
name: Valkyrie Pearl Broadsword	 price: 4057.2	 eladodbszam: 62	 mennyivesznek: 112
name: Gearbore	 price: 3901.1	 eladodbszam: 66	 mennyivesznek: 35
name: Ruby Orichalcum Amulet of the Berserker	 price: 3833.2	 eladodbszam: 175	 mennyivesznek: 169
name: Superior Sigil of Corruption	 price: 3772.3	 eladodbszam: 230	 mennyivesznek: 207
name: Rurik's Gauntlets	 price: 3612.7	 eladodbszam: 47	 mennyivesznek: 23
name: Resonator	 price: 3567.2	 eladodbszam: 78	 mennyivesznek: 28
name: Pact Avenger of Force	 price: 3278.1	 eladodbszam: 72	 mennyivesznek: 89
name: Rampager's Emblazoned Helm	 price: 3170.3	 eladodbszam: 41	 mennyivesznek: 33
name: Superior Rune of the Wurm	 price: 3147.9	 eladodbszam: 121	 mennyivesznek: 184
name: Superior Sigil of Restoration	 price: 3041.5	 eladodbszam: 77	 mennyivesznek: 120
name: Axiquiotl	 price: 2971.5	 eladodbszam: 131	 mennyivesznek: 148
name: Superior Rune of Scavenging	 price: 2917.6	 eladodbszam: 185	 mennyivesznek: 361
name: Superior Sigil of Blood	 price: 2540.3	 eladodbszam: 156	 mennyivesznek: 221
name: Master's Training Manual	 price: 2454.9	 eladodbszam: 128	 mennyivesznek: 615
name: Soldier's Ring	 price: 2447.2	 eladodbszam: 39	 mennyivesznek: 128
name: Grandmaster's Training Manual	 price: 2019.5	 eladodbszam: 134	 mennyivesznek: 906
name: Ravaging Cabalist Coat of the Centaur	 price: 1934.8	 eladodbszam: 62	 mennyivesznek: 191
name: Major Sigil of Karka Slaying	 price: 1897.7	 eladodbszam: 107	 mennyivesznek: 59
name: Shaman's Norn Dagger of Air	 price: 1840.3	 eladodbszam: 234	 mennyivesznek: 206
name: Rurik's Legplates	 price: 1782.9	 eladodbszam: 44	 mennyivesznek: 32
name: Icing Dye	 price: 1606.5	 eladodbszam: 127	 mennyivesznek: 442
name: Rampager's Hammer of Ice	 price: 1202.6	 eladodbszam: 36	 mennyivesznek: 162
name: Berserker's Duelist Pants of Infiltration	 price: 1112.3	 eladodbszam: 161	 mennyivesznek: 50
name: Chrysocola Mithril Ring of Carrion	 price: 1006.6	 eladodbszam: 185	 mennyivesznek: 142
name: Superior Sigil of Luck	 price: 851.9	 eladodbszam: 947	 mennyivesznek: 324
name: Valkyrie Gladiator Pauldrons	 price: 786.1	 eladodbszam: 46	 mennyivesznek: 13
name: Superior Rune of the Pirate	 price: 721.0	 eladodbszam: 1696	 mennyivesznek: 1337
