name: The Bard	 price: 96915.0	 eladodbszam: 39	 mennyivesznek: 57
name: Endless Toymaker's Tonic	 price: 51764.3	 eladodbszam: 81	 mennyivesznek: 215
name: Plague	 price: 14013.3	 eladodbszam: 21	 mennyivesznek: 73
name: Berserker's Emblazoned Coat	 price: 10198.3	 eladodbszam: 53	 mennyivesznek: 134
name: Cleric's Pearl Shell	 price: 9471.0	 eladodbszam: 21	 mennyivesznek: 51
name: Apothecary's Pearl Carver	 price: 7746.9	 eladodbszam: 40	 mennyivesznek: 38
name: Apothecary's Exalted Gloves	 price: 7597.1	 eladodbszam: 28	 mennyivesznek: 7
name: Malefacterym	 price: 7481.6	 eladodbszam: 60	 mennyivesznek: 183
name: Knight's Exalted Coat	 price: 7119.7	 eladodbszam: 39	 mennyivesznek: 29
name: Rampager's Draconic Boots	 price: 6997.2	 eladodbszam: 31	 mennyivesznek: 19
name: Carrion Emblazoned Pants	 price: 6958.7	 eladodbszam: 8	 mennyivesznek: 25
name: Giver's Exalted Pants	 price: 6900.6	 eladodbszam: 25	 mennyivesznek: 6
name: Aidan's Pauldrons	 price: 6817.3	 eladodbszam: 36	 mennyivesznek: 113
name: Superior Sigil of Bloodlust	 price: 6720.0	 eladodbszam: 100	 mennyivesznek: 486
name: Anura	 price: 6480.6	 eladodbszam: 54	 mennyivesznek: 57
name: Berserker's Pearl Stinger	 price: 6437.9	 eladodbszam: 40	 mennyivesznek: 259
name: Godskull Targe	 price: 6209.7	 eladodbszam: 50	 mennyivesznek: 35
name: Carrion Tribal Dagger of Rage	 price: 6171.9	 eladodbszam: 85	 mennyivesznek: 49
name: Kryta's Embrace	 price: 6005.3	 eladodbszam: 46	 mennyivesznek: 34
name: Norgu's Mask	 price: 5782.0	 eladodbszam: 51	 mennyivesznek: 39
name: Rampager's Draconic Coat	 price: 5716.9	 eladodbszam: 26	 mennyivesznek: 18
name: Carrion Emblazoned Gloves	 price: 5607.7	 eladodbszam: 29	 mennyivesznek: 20
name: Jatoro's Mantle	 price: 5591.6	 eladodbszam: 35	 mennyivesznek: 27
name: Carrion Tribal Torch of Rage	 price: 5538.4	 eladodbszam: 23	 mennyivesznek: 21
name: Explorer's Draconic Helm	 price: 5501.3	 eladodbszam: 44	 mennyivesznek: 18
name: Valkyrie Draconic Coat	 price: 5431.3	 eladodbszam: 31	 mennyivesznek: 26
name: Carrion Legionnaire Firebrand of Rage	 price: 5308.1	 eladodbszam: 31	 mennyivesznek: 15
name: Eternal Flame	 price: 5238.8	 eladodbszam: 25	 mennyivesznek: 29
name: Giver's Exalted Coat	 price: 5219.2	 eladodbszam: 20	 mennyivesznek: 17
name: Valkyrie Pearl Stinger	 price: 5135.2	 eladodbszam: 36	 mennyivesznek: 40
name: Superior Sigil of Battle	 price: 5105.8	 eladodbszam: 90	 mennyivesznek: 149
name: Sapphire Orichalcum Amulet of the Cleric	 price: 4942.0	 eladodbszam: 63	 mennyivesznek: 27
name: Jora's Defender	 price: 4779.6	 eladodbszam: 44	 mennyivesznek: 29
name: Giver's Exalted Boots	 price: 4709.6	 eladodbszam: 28	 mennyivesznek: 21
name: Soldier's Ring	 price: 4605.3	 eladodbszam: 31	 mennyivesznek: 111
name: Skybringer	 price: 4529.0	 eladodbszam: 75	 mennyivesznek: 89
name: Traveler's Ceremonial Winged Axe of Rage	 price: 4496.1	 eladodbszam: 38	 mennyivesznek: 23
name: Explorer's Pearl Broadsword	 price: 4400.2	 eladodbszam: 49	 mennyivesznek: 67
