name: Rage	 price: 54661.6	 eladodbszam: 21	 mennyivesznek: 68
name: Final Rest	 price: 17343.2	 eladodbszam: 164	 mennyivesznek: 228
name: Valkyrie Pearl Sabre	 price: 13996.5	 eladodbszam: 9	 mennyivesznek: 36
name: Berserker's Greatsword of Venom	 price: 13685.7	 eladodbszam: 20	 mennyivesznek: 300
name: Norgu's Coat	 price: 9740.5	 eladodbszam: 32	 mennyivesznek: 104
name: Valkyrie Draconic Gauntlets	 price: 8763.3	 eladodbszam: 40	 mennyivesznek: 34
name: Superior Sigil of Bloodlust	 price: 7557.9	 eladodbszam: 100	 mennyivesznek: 485
name: Berserker's Emblazoned Pants	 price: 7505.4	 eladodbszam: 60	 mennyivesznek: 101
name: Valkyrie Emblazoned Pants	 price: 7461.3	 eladodbszam: 14	 mennyivesznek: 23
name: Guardian of the Six	 price: 7150.5	 eladodbszam: 42	 mennyivesznek: 76
name: Cleric's Draconic Legs	 price: 6526.1	 eladodbszam: 102	 mennyivesznek: 39
name: Valkyrie Emblazoned Shoulders	 price: 5600.0	 eladodbszam: 14	 mennyivesznek: 20
name: Valkyrie Pearl Broadsword	 price: 4745.3	 eladodbszam: 72	 mennyivesznek: 109
name: Superior Rune of the Eagle	 price: 4479.3	 eladodbszam: 206	 mennyivesznek: 447
name: Berserker's Acolyte Mantle of the Eagle	 price: 4097.1	 eladodbszam: 107	 mennyivesznek: 61
name: Carrion Pearl Broadsword	 price: 3997.7	 eladodbszam: 93	 mennyivesznek: 76
name: Super Short Bow Skin	 price: 3987.9	 eladodbszam: 74	 mennyivesznek: 99
name: Coral Orichalcum Ring of the Rampager	 price: 3569.3	 eladodbszam: 137	 mennyivesznek: 49
name: Superior Rune of the Ranger	 price: 2867.9	 eladodbszam: 321	 mennyivesznek: 610
name: Superior Rune of the Traveler	 price: 2447.2	 eladodbszam: 305	 mennyivesznek: 950
name: Berserker's Duelist Pants of the Centaur	 price: 2430.4	 eladodbszam: 96	 mennyivesznek: 116
name: Flamebelcher	 price: 2309.3	 eladodbszam: 79	 mennyivesznek: 52
name: Strong Gladiator Gauntlets	 price: 1970.5	 eladodbszam: 10	 mennyivesznek: 17
name: Superior Rune of the Earth	 price: 1887.9	 eladodbszam: 373	 mennyivesznek: 160
name: Ravaging Reinforced Scale Legs of Divinity	 price: 1852.2	 eladodbszam: 59	 mennyivesznek: 125
name: Valkyrie Noble Gloves	 price: 1325.8	 eladodbszam: 12	 mennyivesznek: 58
name: Berserker's Duelist Boots of the Citadel	 price: 1316.0	 eladodbszam: 170	 mennyivesznek: 71
name: Cleric's Krait Short Bow	 price: 1054.2	 eladodbszam: 32	 mennyivesznek: 49
name: Black Cherry Dye	 price: 1004.5	 eladodbszam: 136	 mennyivesznek: 217
name: Carrion Masquerade Boots	 price: 949.9	 eladodbszam: 86	 mennyivesznek: 52
name: Berserker's Masquerade Boots	 price: 848.4	 eladodbszam: 66	 mennyivesznek: 52
name: Shaman's Norn Axe of Air	 price: 798.0	 eladodbszam: 116	 mennyivesznek: 107
name: Cleric's Dagger of Blood	 price: 792.4	 eladodbszam: 105	 mennyivesznek: 228
name: Strong Cabalist Legs of Balthazar	 price: 665.7	 eladodbszam: 162	 mennyivesznek: 243
name: Carrion Flame Guard of Air	 price: 644.0	 eladodbszam: 95	 mennyivesznek: 121
name: Strong Rogue Gloves	 price: 634.9	 eladodbszam: 84	 mennyivesznek: 28
name: Cleric's Speargun of Venom	 price: 618.8	 eladodbszam: 113	 mennyivesznek: 112
name: Destroyer Lodestone	 price: 590.1	 eladodbszam: 915	 mennyivesznek: 4957
name: Cleric's Mace of Chilling	 price: 561.4	 eladodbszam: 114	 mennyivesznek: 93
name: Berserker's Greatsword of Accuracy	 price: 552.3	 eladodbszam: 45	 mennyivesznek: 77
name: Cleric's Pistol of Chilling	 price: 544.6	 eladodbszam: 123	 mennyivesznek: 168
name: Berserker's Pit Fighter Gauntlets of the Flock	 price: 508.9	 eladodbszam: 258	 mennyivesznek: 51
