name: Spark	 price: 1064000.0	 eladodbszam: 6	 mennyivesznek: 1506
name: Dawn	 price: 629721.4	 eladodbszam: 15	 mennyivesznek: 1553
name: Abyssal Scepter	 price: 400075.9	 eladodbszam: 12	 mennyivesznek: 74
name: Ghastly Grinning Shield Skin	 price: 314578.6	 eladodbszam: 19	 mennyivesznek: 915
name: Carcharias	 price: 130705.4	 eladodbszam: 24	 mennyivesznek: 35
name: Corrupted Shard	 price: 64434.3	 eladodbszam: 15	 mennyivesznek: 163
name: Axe	 price: 21573.3	 eladodbszam: 5	 mennyivesznek: 67
name: Nightmare Coil	 price: 20925.1	 eladodbszam: 15	 mennyivesznek: 107
name: Final Rest	 price: 16804.2	 eladodbszam: 154	 mennyivesznek: 231
name: Super Staff Skin	 price: 15674.4	 eladodbszam: 74	 mennyivesznek: 144
name: Bramblethorne	 price: 14712.6	 eladodbszam: 34	 mennyivesznek: 64
name: Shaman's Norn Staff of Energy	 price: 14350.0	 eladodbszam: 2	 mennyivesznek: 105
name: Mystic Barricade	 price: 14091.0	 eladodbszam: 13	 mennyivesznek: 17
name: Super Shield Skin	 price: 12600.0	 eladodbszam: 49	 mennyivesznek: 166
name: Traveler's Ceremonial Dagger of Rage	 price: 11953.9	 eladodbszam: 51	 mennyivesznek: 13
name: Aidan's Coat	 price: 11580.8	 eladodbszam: 34	 mennyivesznek: 288
name: Aidan's Gloves	 price: 11358.2	 eladodbszam: 20	 mennyivesznek: 154
name: Rampager's Greatsword of Demon Summoning	 price: 10586.8	 eladodbszam: 7	 mennyivesznek: 109
name: Khrysaor, the Golden Sword	 price: 9725.8	 eladodbszam: 70	 mennyivesznek: 97
name: Zhed's Boots	 price: 9510.2	 eladodbszam: 40	 mennyivesznek: 80
name: Carrion Pit Fighter Chest of the Afflicted	 price: 9441.6	 eladodbszam: 14	 mennyivesznek: 27
name: Mini White Moa	 price: 9396.8	 eladodbszam: 62	 mennyivesznek: 116
name: Apothecary's Emblazoned Boots	 price: 9244.9	 eladodbszam: 25	 mennyivesznek: 13
name: Carrion Legionnaire Trident of Accuracy	 price: 9242.1	 eladodbszam: 7	 mennyivesznek: 16
name: Nika's Pauldrons	 price: 9127.3	 eladodbszam: 24	 mennyivesznek: 64
